 -7.47	 -7.61	0.27	15.50
 -7.65	 -7.71	0.20	15.67
 -6.33	 -6.38	0.11	15.80
 -8.46	 -8.50	0.08	15.85
 -6.03	 -6.09	0.10	15.80
 -6.03	 -6.09	0.10	15.80
 -3.48	 -3.66	0.38	15.27
 -7.65	 -7.71	0.20	15.67
 -6.90	 -7.14	0.40	19.21
-12.90	-13.40	0.72	22.57
 -9.05	 -9.40	0.72	22.71
 -0.36	 -1.07	1.99	8.19
  0.00	 -0.66	1.64	8.75
 -0.17	 -0.88	1.32	9.37
 -9.24	 -9.58	0.49	23.03
-29.14	-29.41	0.59	54.85
 -8.93	 -9.14	0.45	25.11
-29.14	-29.41	0.59	54.85
 -1.45	 -2.07	2.96	7.44
 -2.69	 -3.09	1.24	10.06
 -2.69	 -3.09	1.24	10.06
 -0.36	 -1.07	1.99	8.19
 -1.43	 -1.65	0.63	10.79
 -2.69	 -3.09	1.24	10.06
 -4.08	 -5.03	4.44	17.22
 -4.58	 -5.23	1.51	18.49
-11.14	-11.33	0.35	26.34
-13.55	-14.17	1.31	38.44
 -9.47	-10.36	7.20	31.43
-11.59	-11.94	1.21	35.93
 -2.40	 -2.49	0.34	11.40
 -6.26	 -6.38	0.23	17.54
 -0.82	 -1.42	2.29	14.90
-11.37	-11.80	0.70	28.65
 -7.73	 -8.07	0.51	23.00
 -8.71	 -9.05	0.71	27.65
 -6.47	 -7.06	3.82	22.87
 -7.29	 -7.40	0.18	18.65
 -7.78	 -7.85	0.11	16.78
 -5.49	 -5.59	0.16	14.67
-10.97	-12.04	1.89	34.33
-15.57	-16.06	1.50	43.44
 -5.66	 -6.42	2.20	19.23
-14.99	-15.66	9.09	26.69
 -8.09	 -8.17	0.14	19.72
 -5.41	 -5.77	1.37	20.75
-11.14	-11.33	0.35	26.34
 -2.81	 -3.11	0.47	16.06
 -2.81	 -3.11	0.47	16.06
 -4.34	 -4.53	0.70	12.85
 -2.04	 -2.88	2.11	14.10
-10.19	-11.27	2.82	38.19
-10.19	-11.27	2.82	38.19
 -2.99	 -4.13	3.81	21.27
 -5.29	 -5.54	0.65	19.84
-30.91	-32.29	21.08	58.50
 -6.13	 -6.31	0.42	18.23
 -6.13	 -6.31	0.42	18.23
 -6.25	 -6.52	0.98	22.41
 -8.25	 -9.09	2.96	30.78
-13.08	-13.39	0.69	27.74
-10.27	-10.88	1.84	26.71
-13.08	-13.39	0.69	27.74
 -4.13	 -4.26	0.32	15.38
 -3.23	 -3.76	2.98	11.70
-11.64	-12.20	1.30	22.86
 -6.68	 -6.91	0.41	21.20
 -3.44	 -3.56	0.23	12.56
 -4.28	 -4.56	0.76	17.56
 -5.58	 -5.72	0.80	28.51
 -3.08	 -4.30	4.87	10.27
 -3.08	 -4.30	4.87	10.27
-16.55	-16.65	0.54	35.22
-13.66	-13.80	0.44	26.33
-11.88	-12.47	1.20	25.09
-13.66	-13.80	0.44	26.33
-11.88	-12.47	1.20	25.09
-13.66	-13.80	0.44	26.33
-11.88	-12.47	1.20	25.09
-13.66	-13.80	0.44	26.33
-11.88	-12.47	1.20	25.09
 -6.38	 -6.71	1.24	26.98
 -3.82	 -4.05	0.46	13.14
 -6.68	 -6.91	0.41	21.20
 -4.08	 -4.14	0.12	16.77
 -3.19	 -3.30	0.33	13.44
 -4.22	 -4.59	1.77	24.11
 -7.15	 -7.56	1.82	25.13
-11.58	-11.79	0.37	26.29
-11.58	-11.79	0.37	26.29
 -1.43	 -1.65	0.63	10.79
 -2.64	 -3.06	1.83	13.12
 -8.73	 -8.80	0.13	19.75
 -2.59	 -2.64	0.20	12.66
 -2.59	 -2.65	0.20	12.65
 -2.59	 -2.64	0.19	12.67
 -2.59	 -2.64	0.19	12.67
 -2.59	 -2.64	0.14	12.75
-12.63	-12.74	0.32	29.46
 -9.03	 -9.11	0.14	18.74
 -9.03	 -9.11	0.14	18.74
 -3.44	 -3.56	0.23	12.55
 -3.44	 -3.56	0.23	12.56
 -3.44	 -3.56	0.23	12.56
-15.41	-17.66	12.89	53.12
 -3.30	 -4.25	6.70	13.93
 -1.81	 -1.91	0.36	9.39
 -3.92	 -4.24	0.56	20.91
 -3.92	 -4.24	0.56	20.91
 -2.75	 -2.90	0.35	13.30
 -5.96	 -6.64	5.95	19.41
-10.73	-10.76	0.11	21.82
 -5.13	 -5.78	1.04	15.08
-10.31	-11.24	5.06	28.25
 -8.07	 -9.49	3.42	25.41
 -5.14	 -5.42	1.39	18.84
 -5.14	 -5.42	1.39	18.84
 -5.33	 -5.80	1.02	21.16
 -2.63	 -2.92	1.61	13.54
-16.44	-17.27	1.68	42.96
 -7.23	 -7.34	0.25	21.50
 -3.44	 -3.56	0.23	12.56
-12.87	-13.22	0.84	32.39
 -3.19	 -3.27	0.18	13.65
 -2.84	 -2.95	0.24	13.53
-10.65	-10.76	0.23	22.58
 -9.61	 -9.69	0.15	21.70
 -9.01	 -9.11	0.18	21.64
-11.06	-11.21	0.25	24.50
-38.01	-38.82	1.52	89.16
 -6.63	 -7.89	7.34	18.95
 -1.72	 -2.86	4.03	15.28
 -1.72	 -2.86	4.03	15.28
 -1.72	 -2.86	4.03	15.28
 -9.63	-10.18	1.57	29.25
 -5.13	 -5.78	1.04	15.08
 -8.79	 -9.34	1.16	21.70
 -3.65	 -3.80	0.38	16.31
 -8.39	 -8.65	0.68	28.72
 -6.63	 -7.88	7.24	18.86
 -5.67	 -6.05	0.90	26.23
 -5.67	 -6.05	0.90	26.23
-23.58	-25.43	5.57	61.60
-11.85	-12.02	1.06	27.59
 -5.14	 -5.67	1.63	25.29
 -5.14	 -5.67	1.63	25.29
 -4.86	 -5.27	1.47	21.66
 -9.41	 -9.63	0.49	29.11
 -3.24	 -3.86	1.80	15.71
 -3.18	 -4.44	4.56	15.27
 -4.08	 -4.27	0.32	16.36
 -4.08	 -4.27	0.32	16.36
-12.66	-12.86	0.90	36.58
-10.45	-11.00	1.27	23.05
 -4.83	 -4.87	0.08	11.85
 -8.74	 -8.85	0.21	19.59
 -8.51	 -9.12	1.26	20.91
 -8.33	 -9.24	3.00	25.58
 -4.14	 -4.61	1.42	23.45
 -2.11	 -2.72	3.07	10.19
-23.41	-25.82	7.26	68.90
-11.75	-12.07	0.68	40.73
 -5.51	 -6.28	1.69	23.79
 -7.99	 -8.12	0.24	23.53
 -2.72	 -3.28	1.66	14.97
 -2.72	 -3.28	1.66	14.97
 -2.72	 -3.28	1.66	14.97
 -2.72	 -3.28	1.66	14.97
 -4.65	 -4.73	0.34	15.43
-13.11	-13.81	1.77	38.77
 -4.84	 -5.90	2.05	21.30
 -6.58	 -6.72	0.46	21.26
-15.06	-15.33	0.93	34.50
 -7.21	 -7.92	1.37	27.40
 -6.47	 -7.06	3.82	22.87
 -8.00	 -8.25	0.80	22.77
-18.38	-18.91	0.86	44.34
-30.46	-33.71	29.79	49.81
-30.46	-33.71	29.79	49.81
 -4.86	 -5.27	1.47	21.66
 -8.75	 -9.14	1.34	30.78
-18.38	-18.91	0.86	44.34
 -3.24	 -3.76	1.60	12.45
 -7.87	 -8.05	0.62	21.02
 -6.79	 -6.92	0.28	22.45
-16.84	-17.52	2.61	50.66
 -7.14	 -7.91	3.75	28.35
-17.54	-19.54	14.31	52.69
-17.54	-19.54	14.31	52.69
 -2.69	 -3.09	1.24	10.06
-11.14	-11.33	0.35	26.34
-12.05	-12.15	0.17	21.67
 -4.30	 -4.44	0.26	14.49
-20.31	-22.62	5.94	69.41
-18.60	-21.32	9.66	64.19
 -4.29	 -5.49	2.17	22.77
-46.27	-47.49	33.21	36.37
-28.50	-29.07	8.43	45.79
 -5.19	 -5.93	2.13	20.97
 -1.12	 -1.74	1.87	12.58
 -2.99	 -3.21	0.48	15.06
 -5.88	 -6.30	0.98	19.11
 -5.12	 -5.44	0.57	24.89
-12.21	-12.91	1.52	31.42
-13.54	-13.77	0.65	32.92
 -8.16	 -8.35	0.42	29.19
 -5.43	 -6.07	1.32	21.44
 -4.29	 -5.32	7.83	18.18
 -1.55	 -1.82	1.24	9.92
 -6.63	 -8.01	7.19	20.19
 -2.36	 -2.48	0.34	13.34
 -5.53	 -5.71	0.53	19.05
 -7.47	 -7.61	0.27	15.50
 -6.43	 -7.32	1.76	25.61
-25.82	-26.49	1.18	45.65
 -1.96	 -2.72	1.67	15.87
 -1.96	 -2.72	1.67	15.87
 -4.86	 -5.27	1.47	21.66
 -9.36	 -9.43	0.12	20.78
 -5.43	 -6.07	1.32	21.44
 -6.86	 -7.29	0.86	21.42
 -6.79	 -6.91	0.23	19.56
 -7.08	 -7.26	0.31	18.38
 -1.27	 -1.98	1.14	10.77
 -6.46	 -6.51	0.08	13.84
 -6.46	 -6.51	0.08	13.84
-22.56	-24.51	14.90	53.52
 -2.24	 -2.87	1.36	13.58
 -4.65	 -5.00	0.47	11.09
 -3.15	 -3.52	0.56	10.94
 -5.01	 -5.36	0.46	11.10
 -7.15	 -7.40	4.10	18.72
 -7.47	 -7.61	0.27	15.50
-22.92	-23.12	0.57	47.04
 -8.63	 -9.02	0.79	26.54
 -8.63	 -9.02	0.79	26.54
 -7.75	 -9.43	5.56	31.62
-11.59	-11.94	1.21	35.93
-14.99	-15.66	9.09	26.69
 -9.41	 -9.63	0.49	29.11
 -7.29	 -7.69	1.66	33.34
 -6.79	 -6.91	0.23	19.56
 -7.75	 -9.43	5.56	31.62
 -7.75	 -9.43	5.56	31.62
-10.53	-11.25	1.23	21.63
-23.62	-24.76	2.52	55.46
 -7.75	 -9.43	5.56	31.62
-20.29	-20.83	11.83	26.26
-23.62	-24.76	2.52	55.46
 -8.97	 -9.43	0.93	22.29
 -7.75	 -9.43	5.56	31.62
 -4.78	 -5.24	0.78	24.50
 -8.09	 -8.94	1.92	23.28
 -8.95	 -9.03	0.22	22.62
 -1.53	 -2.55	2.59	10.81
 -8.77	 -8.86	0.34	31.45
 -9.19	 -9.28	0.33	31.47
-12.65	-14.32	11.80	29.73
 -6.43	 -7.32	1.76	25.61
 -8.35	 -8.70	2.19	24.62
-14.76	-15.20	0.73	26.53
-18.10	-18.52	0.71	26.59
 -5.14	 -5.67	1.63	25.29
 -6.61	 -6.74	0.28	15.47
 -5.48	 -5.65	0.33	15.35
-18.38	-18.91	0.86	44.34
-14.76	-15.20	0.73	26.53
-14.76	-15.20	0.73	26.53
 -1.82	 -2.61	1.16	13.79
 -4.29	 -5.49	2.17	22.77
 -4.29	 -5.49	2.17	22.77
 -6.01	 -6.04	0.13	17.78
 -8.09	 -8.17	0.14	19.72
 -0.73	 -2.46	5.90	8.30
-13.55	-14.17	1.31	38.44
 -4.59	 -4.76	0.32	14.40
-14.99	-15.98	3.01	43.01
 -0.82	 -1.42	2.29	14.90
-11.37	-11.80	0.70	28.65
 -8.71	 -9.05	0.71	27.65
 -8.78	 -9.45	4.40	23.01
 -8.42	 -9.20	1.24	25.59
-18.00	-20.52	8.33	72.93
-20.31	-22.44	12.38	53.81
 -5.29	 -5.54	0.65	19.84
 -9.14	 -9.75	1.33	34.38
 -9.57	-10.23	3.24	32.85
-29.73	-29.82	0.18	39.67
-19.59	-21.55	5.85	48.11
-20.31	-22.44	12.38	53.81
-14.35	-15.41	2.41	44.77
 -7.17	 -9.13	4.82	35.33
 -7.67	 -8.32	5.82	25.88
-17.48	-18.30	5.17	41.95
 -5.87	 -6.69	8.30	24.80
 -8.75	 -9.14	1.34	30.78
 -5.19	 -5.93	2.13	20.97
-23.56	-24.60	3.71	69.84
-20.08	-20.14	0.11	29.78
-12.58	-13.18	1.77	30.80
-12.58	-13.18	1.77	30.80
-19.37	-20.87	6.57	61.96
-19.35	-20.89	6.72	62.70
-20.07	-21.54	6.95	61.44
-10.13	-10.74	1.68	30.32
-10.62	-11.03	1.21	35.84
 -4.28	 -4.56	0.76	17.56
-19.59	-21.55	5.85	48.11
-26.58	-27.93	4.58	72.37
-21.51	-23.19	11.50	57.29
 -3.92	 -4.24	0.56	20.91
-11.54	-11.80	0.45	34.12
-10.65	-11.26	1.82	28.72
-19.39	-20.85	7.69	61.40
-19.39	-20.85	7.69	61.40
 -3.43	 -3.79	0.68	16.65
 -5.23	 -5.42	0.38	14.32
-14.35	-15.41	2.41	44.77
-38.67	-39.98	2.90	68.87
 -2.69	 -3.09	1.24	10.06
-12.58	-13.18	1.77	30.80
-22.62	-23.70	6.73	62.94
-13.11	-13.81	1.77	38.77
-17.31	-19.24	7.02	50.64
-12.19	-14.35	6.29	47.64
-12.19	-15.21	15.04	32.01
-10.32	-10.75	1.83	26.33
 -7.60	 -7.70	0.17	15.66
 -7.60	 -7.70	0.17	15.66
 -7.30	 -7.38	0.21	21.66
-16.27	-16.51	1.27	46.05
 -2.79	 -3.47	1.31	22.50
 -1.25	 -2.28	2.85	19.95
-19.59	-21.55	5.85	48.11
 -7.03	 -8.32	3.23	23.37
-13.11	-13.81	1.77	38.77
-33.98	-35.69	9.02	83.34
-10.87	-11.21	0.70	29.67
-13.89	-15.39	16.52	45.67
 -8.42	 -9.20	1.24	25.59
