0.02	1936
0.00	1932
0.00	1932
0.00	1932
0.00	1936
0.00	1932
0.00	1936
0.00	1936
0.00	2380
0.01	2992
0.01	2972
0.00	1828
0.00	1828
0.00	1828
0.01	2832
0.92	46712
0.01	3332
0.90	46588
0.00	1828
0.00	1824
0.00	1828
0.00	1828
0.00	1828
0.00	1824
0.01	2948
0.01	2516
0.02	3520
0.18	13988
0.22	17472
0.10	10412
0.00	1828
0.00	2152
0.00	2212
0.03	4932
0.01	2932
0.03	4324
0.03	4352
0.00	2216
0.00	2040
0.00	1900
0.10	10608
0.30	21336
0.01	2732
0.15	12444
0.00	2368
0.01	2712
0.02	3516
0.00	2040
0.00	2040
0.00	1872
0.00	2152
0.22	15976
0.20	15972
0.02	3828
0.00	2508
9.81	225960
0.00	2220
0.01	2216
0.01	2896
0.07	8472
0.04	4308
0.04	4924
0.03	4308
0.00	1936
0.00	1936
0.01	3140
0.01	2568
0.00	1848
0.00	2208
0.03	4812
0.00	2376
0.00	2372
0.09	8696
0.02	3548
0.02	3540
0.02	3544
0.02	3544
0.02	3544
0.02	3544
0.02	3548
0.02	3544
0.03	4116
0.00	1868
0.01	2572
0.00	2036
0.00	1872
0.02	3568
0.02	3820
0.03	3516
0.02	3516
0.00	1828
0.00	1936
0.01	2368
0.00	1848
0.00	1848
0.00	1848
0.00	1848
0.00	1844
0.04	4900
0.00	2220
0.00	2216
0.00	1848
0.00	1848
0.00	1844
4.88	156000
0.02	3356
0.00	1800
0.01	2576
0.00	2576
0.00	1868
0.02	3792
0.01	2600
0.00	2040
0.09	8588
0.04	5228
0.00	2516
0.01	2520
0.01	2724
0.00	1936
0.30	21392
0.01	2612
0.00	1848
0.06	7116
0.00	1872
0.00	1872
0.01	2748
0.01	2600
0.01	2596
0.01	2932
15.45	325904
0.05	5840
0.01	2580
0.01	2584
0.01	2580
0.07	5948
0.00	2036
0.01	2976
0.01	2040
0.03	4900
0.05	5916
0.02	3764
0.02	3764
3.31	117248
0.03	4264
0.02	3788
0.02	3784
0.01	2992
0.03	4812
0.00	2228
0.01	3012
0.00	2040
0.00	2036
0.12	10428
0.01	2956
0.00	1828
0.00	2308
0.01	2772
0.04	5228
0.01	3340
0.00	1936
7.41	224256
0.16	15064
0.02	3540
0.01	2948
0.00	2148
0.00	2152
0.00	2152
0.00	2152
0.00	1936
0.20	15140
0.01	3136
0.01	2584
0.10	8440
0.03	4900
0.03	4352
0.01	2984
0.31	21616
18.79	387304
19.26	387400
0.01	2992
0.05	6544
0.29	21616
0.00	1900
0.01	2592
0.01	2808
0.95	44100
0.06	7136
5.72	174728
5.51	174676
0.00	1828
0.02	3516
0.01	2600
0.00	1896
6.61	208672
6.76	208100
0.02	3512
10.30	233836
1.30	51388
0.01	2940
0.00	1936
