0.089	8832
0.072	8688
0.073	8704
0.074	7952
0.073	8704
0.073	7632
0.075	7648
0.075	8752
0.077	7824
0.076	7712
0.076	7680
0.076	8880
0.078	8928
0.078	8992
0.077	8032
0.078	8896
0.078	9040
0.080	8416
0.079	8416
0.080	7200
0.079	7184
0.080	8944
0.081	8944
0.080	8960
0.080	8880
0.081	8144
0.079	9056
0.080	9056
0.080	8768
0.082	7808
0.083	8480
0.083	8256
0.084	8208
0.084	9056
0.085	9040
0.085	7792
0.085	8864
0.085	9056
0.086	9072
0.086	9152
0.087	8896
0.086	7936
0.088	9120
0.087	7856
0.089	7472
0.089	7328
0.089	9296
0.088	8816
0.091	8768
0.090	7616
0.091	8704
0.092	7632
0.090	8384
0.092	8448
0.091	9136
0.093	8448
0.093	9328
0.093	9296
0.093	8784
0.095	7824
0.095	8912
0.094	9360
0.094	8528
0.096	8208
0.098	9408
0.097	9424
0.097	9376
0.097	9216
0.096	9312
0.123	9712
0.098	8304
0.099	8592
0.099	9488
0.099	8032
0.100	8160
0.101	9328
0.101	8752
0.100	9504
0.102	7968
0.102	9072
0.102	8720
0.103	8400
0.103	8672
0.102	9600
0.103	9552
0.103	8704
0.102	9008
0.105	9408
0.104	8832
0.104	7904
0.105	9152
0.104	9312
0.104	8208
0.104	9776
0.105	9280
0.108	9616
0.109	8000
0.108	8368
0.108	9536
0.111	9584
0.111	9584
0.110	8544
0.110	9760
0.110	9760
0.109	9472
0.112	8608
0.113	9904
0.110	8832
0.111	9776
0.112	9680
0.112	9120
0.114	8832
0.112	9376
0.113	9696
0.114	8112
0.114	9632
0.114	9040
0.113	8416
0.113	8032
0.114	9904
0.115	9776
0.115	9664
0.116	9456
0.116	8608
0.117	9856
0.119	8688
0.115	8976
0.117	8224
0.118	9040
0.119	9696
0.118	9296
0.120	9120
0.118	8976
0.119	9744
0.119	9184
0.118	8160
0.122	9232
0.122	9488
0.120	8576
0.119	8624
0.121	9584
0.121	10000
0.121	8416
0.120	8720
0.122	9792
0.123	9840
0.125	9632
0.127	9408
0.128	9712
0.124	8832
0.125	9888
0.124	8464
0.123	10000
0.122	9808
0.125	10080
0.126	9696
0.131	10224
0.125	9840
0.127	9424
0.127	10064
0.129	8496
0.132	10096
0.132	10160
0.129	9328
0.128	8832
0.129	9456
0.129	9664
0.132	9472
0.133	9648
0.129	8624
0.128	9440
0.130	9456
0.130	10208
0.134	9008
0.134	10080
0.137	10080
0.134	10080
0.133	9248
0.133	10304
0.135	10144
0.134	9264
0.135	10320
0.136	10432
0.137	8800
0.135	8912
0.134	9504
0.136	10160
0.139	9216
0.140	8704
0.140	10496
0.139	9536
0.136	9952
0.135	8656
0.140	9104
0.138	10352
0.139	10128
0.138	10176
0.139	8992
0.142	9968
0.143	9136
0.145	10160
0.140	9472
0.142	8816
0.177	10432
0.141	9968
0.148	10624
0.144	10512
0.145	10368
0.147	10144
0.145	10096
0.145	8832
0.143	10576
0.149	10208
0.144	8880
0.150	10576
0.146	10128
0.144	9536
0.146	8928
0.149	9600
0.149	10240
0.149	9952
0.147	8784
0.148	10576
0.147	10208
0.147	10544
0.147	8880
0.151	10432
0.151	8864
0.152	10816
0.151	10368
0.155	10736
0.150	8912
0.149	9344
0.153	10384
0.154	10400
0.155	10560
0.155	10544
0.158	9216
0.158	10544
0.154	10160
0.157	10416
0.156	9712
0.160	10624
0.157	9584
0.156	9072
0.154	10192
0.155	10480
0.158	10368
0.157	10432
0.159	10560
0.155	9200
0.158	9360
0.159	10576
0.160	10112
0.158	9392
0.158	10256
0.161	10832
0.164	10208
0.163	11040
0.162	9296
0.162	10816
0.167	11056
0.164	11040
0.164	10832
0.165	10832
0.168	10848
0.162	10784
0.167	10304
0.164	9616
0.162	9680
0.165	10896
0.166	11056
0.171	11104
0.171	10432
0.167	10912
0.167	10080
0.166	11072
0.167	10880
0.173	10960
0.167	9392
0.170	10960
0.170	11232
0.168	10896
0.168	9696
0.172	11088
0.177	11040
0.172	10272
0.175	11248
0.171	11024
0.170	11328
0.170	11008
0.171	10912
0.169	10816
0.170	10816
0.171	11232
0.175	10000
0.171	11168
0.171	10992
0.181	11408
0.175	11136
0.177	11280
0.175	10480
0.177	10880
0.176	10032
0.177	9856
0.179	10480
0.178	10864
0.179	11040
0.174	10960
0.179	10480
0.178	10032
0.180	10768
0.199	11424
0.194	11648
0.181	10832
0.184	10672
0.186	10560
0.178	11088
0.185	10608
0.186	11024
0.188	11056
0.186	10064
0.191	10256
0.190	11024
0.181	10928
0.183	11392
0.181	10240
0.186	10064
0.181	10480
0.191	10896
0.189	10720
0.187	10736
0.189	9920
0.189	11408
0.185	11520
0.189	10784
0.185	9808
0.183	11024
0.188	11504
0.185	11472
0.186	10864
0.189	11184
0.186	11568
0.186	11584
0.190	11520
0.186	11056
0.195	11568
0.190	9920
0.193	11344
0.188	10560
0.189	10016
0.198	11600
0.198	11456
0.188	11328
0.190	11568
0.195	10080
0.199	11664
0.204	11648
0.195	11920
0.199	11024
0.198	10960
0.198	10208
0.194	11680
0.193	11280
0.201	10160
0.203	10992
0.199	10144
0.195	11328
0.198	10720
0.196	11696
0.198	10400
0.205	11840
0.197	11536
0.196	11312
0.200	10432
0.203	10880
0.197	11504
0.198	10512
0.198	10704
0.198	11536
0.206	11856
0.200	10320
0.200	11440
0.200	11696
0.201	11472
0.209	10304
0.208	11936
0.206	10960
0.207	11168
0.206	10528
0.231	11952
0.209	11648
0.220	10704
0.210	11552
0.212	10736
0.208	10816
0.208	11968
0.206	11872
0.207	10576
0.204	11280
0.204	10432
0.208	11696
0.207	11392
0.214	11792
0.214	11600
0.215	10464
0.211	11984
0.216	12080
0.212	12112
0.212	10912
0.221	10672
0.217	10896
0.221	11888
0.211	11888
0.221	12048
0.220	11872
0.219	10784
0.216	10848
0.218	10736
0.215	11936
0.220	12000
0.222	11808
0.220	11856
0.223	11648
0.224	11904
0.220	10816
0.222	12144
0.214	12048
0.223	11472
0.223	10928
0.221	12304
0.221	11168
0.218	10992
0.228	12096
0.216	11056
0.224	12160
0.225	11648
0.229	12192
0.230	11952
0.223	12048
0.222	11504
0.230	11968
0.230	12336
0.225	10688
0.226	12416
0.223	12320
0.261	12368
0.223	12400
0.229	11968
0.232	12288
0.232	12064
0.223	12384
0.225	11024
0.229	11680
0.235	12432
0.223	10976
0.227	12256
0.225	12128
0.226	12448
0.229	11232
0.224	11136
0.231	12096
0.226	12192
0.225	12064
0.238	11664
0.234	11376
0.235	12000
0.240	11936
0.234	11264
0.233	10848
0.237	12256
0.235	11472
0.240	12192
0.235	11728
0.242	12400
0.232	12464
0.233	12240
0.233	11472
0.239	12448
0.235	11856
0.243	11104
0.240	12192
0.240	11696
0.234	11664
0.241	12640
0.241	10976
0.241	12480
0.241	12096
0.242	12448
0.246	11872
0.239	11120
0.243	12656
0.244	12448
0.240	11552
0.253	12800
0.243	12144
0.248	12272
0.247	11248
0.251	11456
0.242	11696
0.241	11744
0.255	12768
0.252	11600
0.251	12960
0.251	11568
0.250	12496
0.245	12096
0.277	12800
0.258	12720
0.252	11568
0.249	12448
0.245	12560
0.250	12768
0.249	11200
0.248	13120
0.254	12768
0.252	12800
0.257	12944
0.252	12720
0.256	11568
0.250	12896
0.249	11632
0.258	12864
0.260	13088
0.259	12880
0.260	11920
0.258	11504
0.250	11536
0.266	11504
0.254	11568
0.255	11648
0.253	12752
0.267	12320
0.253	11728
0.259	13056
0.258	12752
0.270	13040
0.254	12256
0.258	12928
0.255	11920
0.261	13104
0.268	13104
0.263	12960
0.260	11776
0.262	13008
0.258	12336
0.262	12576
0.254	13152
0.268	13184
0.273	12560
0.270	13120
0.267	11856
0.273	11920
0.270	11904
